ID,Name,Description
100010000,Fork,"Soldier on, pre-exam  students!!"
100020000,Hand mirror,"Soldier on, pre-exam  students!!"
100030000,Roar of Yellow Dragon,Meow
100110000,Hero Sword,
100120000,Hero Knife,
100130000,Hero Bow,
100140000,Hero Mace,
100150000,Hero Staff,
110010000,Dagger,Basic Rogue Item
110050000,Dagger,Basic Rogue Item
110110000,Dagger,A dagger commonly found everywhere.
110111000,Practice Dagger,Dagger for undertaking  upgrade quests.
110150000,Fine Yard,Dagger
110190000,Dagger,Dagger that can be easily  obtained anywhere.  (Quest Item)
110410000,Knife,"This knife is more powerful than  a dagger, and is suited  for stabbing."
110450000,Dirk,Dagger
110610000,Stiletto,A type of small dagger with  the advantages and disadvantages  of both dagger and knife.
110612000,Stiletto,A Knife with the merits  of a dagger and a knife.  A popular addition.  Sells cheaply to NPC merchants...
110650000,Mail Breaker,Nado Dagger
110710000,Assassin Dagger,A dagger that has been  improved to meet  the needs of assassins.
110712000,Assassin Dagger,Assassins.. A Dagger upgraded to  meet their needs. A popular addition.  Sells cheaply to NPC merchants...
110810000,Sword Breaker,A dagger with a sawtooth blade.
110812000,Sword Breaker,A knife with saw blades.  A popular addition.  Sells cheaply to NPC merchants...
110910000,Kukry,A dagger that is a little  like the boomerang.
110912000,Kukry,"A dagger that is somewhat  like a boomerang.  It was added as a popular addition,  and sold at cheap prices to  NPC mechants."
111010000,Cleaver,A big knife for cutting meat.
111012000,Cleaver,"A big knife for cutting meat.  It was added as a popular addition,  and sold at cheap prices to  NPC mechants."
111110000,Mirage Dagger,A dagger of mirage.
111111000,Mirage Dagger,A dagger of mirage.
111112000,Mirage Dagger,"A dagger of mirage.  It was added as a popular addition,  and sold at cheap prices  to NPC mechants."
111122000,Mirage Dagger,"A dagger of mirage.  It was added as a popular  addition, and sold at cheap  prices to NPC mechants."
111210000,Shard,A dagger meaning sharply  broken fragment.
111211000,Shard,A dagger meaning sharply  broken fragment.
111310000,Exceptional Shard,A dagger meaning sharply  broken fragment.
111311000,Exceptional Shard,A dagger meaning sharply  broken fragment.
111410000,Novice Knife 1,Novice Rogue’s Knife
111420000,Novice Knife 2,Novice Rogue’s Knife
111430000,Training Rogue’s Knife 1,Knife for training rogues
111440000,Training Rogue’s Knife 2,Knife for training rogues
111450000,Skilled Rogue’s Knife 1,Skilled Rogue’s Knife
111460000,Skilled Rogue’s Knife 2,Skilled Rogue’s Knife
111470000,Training Knife,Knife for training rogues
112501000,Turtle Shells,
119101000,Dark Vane,"Made by the Dark Elf,  it kills the opponent instantaneously."
119102000,Cold-Hearted Dagger,Mysterious icicle Found  during the Adonis expedition  for evil-soldier subjugation.
119103000,Noah Eslant Icicle,Mysterious icicle Found  during the Adonis expedition  for evil-soldier subjugation.
119111000,Dark Vane,"Made by the Dark Elf, it kills  the opponent instantaneously."
119112000,Cold-Hearted Dagger,Mysterious icicle Found  during the Adonis expedition  for evil-soldier subjugation.
119121000,Noah Dark Vane,"Made by the Dark Elf,  it kills the opponent instantaneously."
119201000,Cut Snake Tail,A Knife created from the  legend of a giant snake which  survived a fatal trap by cutting  its own tail off.
119301000,Sherion,Lethal dagger employed  by legendary assassins
119311000,Sherion,Lethal dagger employed by  legendary assassins
119321000,Noah Sherian,Lethal dagger employed  by legendary assassins
120010000,Short Sword,Basic Warrior Item
120050000,Short Sword,Basic Warrior Item
120110000,Short Blade,One-handed sword anyone  can wield easily.
120150000,Short Blade,
120190000,Short Blade,One-handed sword anyone  can wield easily.  (Quest Item)
120310000,Long Sword,A light and relatively  short one-handed sword.
120350000,Broad Sword,A common sword.
120510000,Scimitar,"A gently curved sword, wielded by Calenuil!"
120550000,Falchion,A broad and greatly  curved sword.
120710000,Flame Sword,A sword engulfed in flames.
120750000,Sabre,One-handed sword
120810000,Rapier,A sword made exclusively  for stabbing.
120812000,Rapier,A sword used only for stabbing.  A popular addition.  Sells cheaply to NPC merchants...
120910000,Gradius,A one-handed sword that  was said to be wielded  by a certain Knight Squad.
121010000,Crescent,A sword of the crescent moon.
121012000,Crescent,A sword called as Crescent.  A popular addition.  Sells cheaply to NPC merchants...
121110000,Blade,A sword famous for its  keen blade.
121112000,Blade,One of the swords with  sharpest blades.  A popular addition.  Sells cheaply to NPC merchants...
121210000,Slayer,A sword for hunting  a specific target.
121211000,Slayer,A sword for hunting  a specific target.
121310000,Graham,A sword of combativeness.
121311000,Graham,A sword of combativeness.
121410000,Exceptional Graham,A sword of combativeness.
121411000,Exceptional Graham,A sword of combativeness.
121420000,Novice Sword 2,Novice Warrior’s Sword
121430000,Training Warrior’s Sword 1,Training Warrior’s Sword
121440000,Training Warrior’s Sword 2,Training Warrior’s Sword
121450000,Skilled Warrior’s Sword 1,Skilled Warrior’s Sword
121460000,Skilled Warrior’s Sword 2,Skilled Warrior’s Sword
121470000,Novice Sword 1,Novice Warrior’s Sword
121510000,Skeleton Sword,
125010000,Novice Two-Handed Sword 1,Novice Warrior’s  Two-Handed Sword
125020000,Novice Two-Handed Sword 2,Novice Warrior’s  Two-Handed Sword
125030000,Training Warrior’s Two-Handed Sword 1,Training Warrior’s  Two-Handed Sword
125040000,Training Warrior’s Two-Handed Sword 2,Training Warrior’s  Two-Handed Sword
125050000,Skilled Warrior’s Two-Handed Sword 1,Skilled Warrior’s  Two-Handed Sword
125060000,Skilled Warrior’s Two-Handed Sword 2,Skilled Warrior’s  Two-Handed Sword
125070000,Two-Handed Training Sword,Two-handed sword for  training warriors
125210000,Combined Blade,A sword used by commoners  in the middle ages.
125250000,Bastard Sword,"Two-handed sword, CaliMaestro’s preferred sword!"
125310000,Two-Handed Sword,A sword that is rather  difficult to wield  even with both hands.
125350000,Twei Hander,Two-handed sword
125610000,Battle Sword,A two-handed sword made  solely for battle.
125650000,War Sword,Two-handed sword
125810000,Great Sword,A double-edged sword with  fearsome blades.
125850000,Giant Sword,Two-handed sword
125910000,Claymore,A thin bladed two-handed  sword that is suitable  for slashing.
126010000,Flamberge,A sword of wave that  holds the power of  the sea god’s wave.
126012000,Flamberge,A Sword of Wave which keeps  the wave of the sea god.  A popular addition.  Sells cheaply to NPC merchants...
126110000,Double Blade,A twin-bladed sword  that can inflict  critical wounds.
126112000,Double Blade,"A sword that can inflict  critical wounds with its twin blades.  It was added as a popular addition,  and sold at cheap prices  to NPC mechants."
126210000,Destroyer,"A sword of destruction, Greensters favorite!"
126212000,Destroyer,"A sword of destruction.  It was added as a popular addition,  and sold at cheap prices to NPC mechants."
126310000,Durandal,The sword said to be given  to the best knight  of the Twelve Paladins.
126311000,Durandal,The sword said to be given  to the best knight of  the Twelve Paladins.
126312000,Durandal,"The sword said to be given to  the best knight of the Twelve Paladins.  It was added as a popular addition,  and sold at cheap prices  to NPC mechants."
126322000,Durandal,"The sword said to be given  to the best knight of the  Twelve Paladins.  It was added as a popular addition,  and sold at cheap prices to  NPC mechants."
126410000,Mirage,Seeing this sword brandished  about is like looking  at a mirage.
126411000,Mirage,Seeing this sword brandished  about is like looking  at a mirage.
126610000,Exceptional Mirage,Seeing this sword brandished  about is like looking  at a mirage.
126611000,Exceptional Mirage,Seeing this sword brandished  about is like looking  at a mirage.
127410000,Undefeatable Wirinom,"<font color=@#FFCC33@>Krowaz’s first class Cursed Soul,  the </font><font color=@#FF3300@>King of Death</font> <font color=@#FFCC33@>His appearance is dreadful, and Drakis</font> <font color=@#FFCC33@>have a grudge on the God of Logos  who throws themselves,</font> <font color=@#FFCC33@> and not the creator’s, but their  </font><font color=@#FF3300@>items </font><font color=@#FFCC33@>are the ones that they should worship.</font> -From the second lost page.."
127411000,Undefeatable Wirinom,"<font color=@#FFCC33@>Krowaz’s first class Cursed Soul, the </font><font color=@#FF3300@>King of Death</font> <font color=@#FFCC33@>His appearance is dreadful, and Drakis</font> <font color=@#FFCC33@>have a grudge on the God of Logos who throws themselves,</font> <font color=@#FFCC33@> and not the creator’s, but their </font><font color=@#FF3300@>items </font><font color=@#FFCC33@>are the ones that they should worship.</font> -From the second lost page.."
127420000,Weak Giant Wirinom,"<font color=@#FFCC33@>Krowaz’s first class Cursed Soul,  the </font><font color=@#FF3300@>King of Death</font> <font color=@#FFCC33@>His appearance is dreadful, and Drakis</font> <font color=@#FFCC33@>have a grudge on the God of Logos  who throws themselves,</font> <font color=@#FFCC33@> and not the creator’s, but their  </font><font color=@#FF3300@>items </font><font color=@#FFCC33@>are the ones that they should worship.</font> -From the second lost page.."
127421000,Weak Giant Wirinom,"<font color=@#FFCC33@>Krowaz’s first class Cursed Soul, the </font><font color=@#FF3300@>King of Death</font> <font color=@#FFCC33@>His appearance is dreadful, and Drakis</font> <font color=@#FFCC33@>have a grudge on the God of Logos who throws themselves,</font> <font color=@#FFCC33@> and not the creator’s, but their </font><font color=@#FF3300@>items </font><font color=@#FFCC33@>are the ones that they should worship.</font> -From the second lost page.."
127430000,Chaos Wirinom,"<font color=@#FFCC33@>Krowaz’s first class Cursed Soul,  the </font><font color=@#FF3300@>King of Death</font> <font color=@#FFCC33@>His appearance is dreadful, and Drakis</font> <font color=@#FFCC33@>have a grudge on the God of Logos  who throws themselves,</font> <font color=@#FFCC33@> and not the creator’s, but their  </font><font color=@#FF3300@>items </font><font color=@#FFCC33@>are the ones that they should worship.</font> -From the second lost page.."
127431000,Chaos Wirinom,"<font color=@#FFCC33@>Krowaz’s first class Cursed Soul, the </font><font color=@#FF3300@>King of Death</font> <font color=@#FFCC33@>His appearance is dreadful, and Drakis</font> <font color=@#FFCC33@>have a grudge on the God of Logos who throws themselves,</font> <font color=@#FFCC33@> and not the creator’s, but their </font><font color=@#FF3300@>items </font><font color=@#FFCC33@>are the ones that they should worship.</font> -From the second lost page.."
127440000,Sweet Kiss Wirinom,"<font color=@#FFCC33@>Krowaz’s first class Cursed Soul,  the </font><font color=@#FF3300@>King of Death</font> <font color=@#FFCC33@>His appearance is dreadful, and Drakis</font> <font color=@#FFCC33@>have a grudge on the God of Logos  who throws themselves,</font> <font color=@#FFCC33@> and not the creator’s, but their  </font><font color=@#FF3300@>items </font><font color=@#FFCC33@>are the ones that they should worship.</font> -From the second lost page.."
127441000,Sweet Kiss Wirinom,"<font color=@#FFCC33@>Krowaz’s first class Cursed Soul, the </font><font color=@#FF3300@>King of Death</font> <font color=@#FFCC33@>His appearance is dreadful, and Drakis</font> <font color=@#FFCC33@>have a grudge on the God of Logos who throws themselves,</font> <font color=@#FFCC33@> and not the creator’s, but their </font><font color=@#FF3300@>items </font><font color=@#FFCC33@>are the ones that they should worship.</font> -From the second lost page.."
127910000,Noah Undefeatable Wirinom,"<font color=@#FFCC33@>One of Marce Krowaz’s first class NightMares, </font> <font color=@#FF3300@>the King of Death</font>  <font color=@#FFCC33@>His appearance was dreadful,  and the Drakis, </font>  <font color=@#FFCC33@>while resenting the god Logos who  had forsaken them,</font> <font color=@#FFCC33@>were forced  to worship not their creator but the </font> <font color=@#FF3300@>objects</font><font color=@#FFCC33@> they left behind.</font>  -From the Second Lost Page..."
127920000,Noah Weak Giant Wirinom,"<font color=@#FFCC33@>One of Marce Krowaz’s first class NightMares, </font> <font color=@#FF3300@>the King of Death</font>  <font color=@#FFCC33@>His appearance was dreadful,  and the Drakis, </font>  <font color=@#FFCC33@>while resenting the god Logos who  had forsaken them,</font> <font color=@#FFCC33@>were forced  to worship not their creator but the </font> <font color=@#FF3300@>objects</font><font color=@#FFCC33@> they left behind.</font>  -From the Second Lost Page..."
127930000,Noah Chaos Wirinom,"<font color=@#FFCC33@>One of Marce Krowaz’s first class NightMares, </font> <font color=@#FF3300@>the King of Death</font>  <font color=@#FFCC33@>His appearance was dreadful,  and the Drakis, </font>  <font color=@#FFCC33@>while resenting the god Logos who  had forsaken them,</font> <font color=@#FFCC33@>were forced  to worship not their creator but the </font> <font color=@#FF3300@>objects</font><font color=@#FFCC33@> they left behind.</font>  -From the Second Lost Page..."
127940000,Noah Sweet Kiss Wirinom,"<font color=@#FFCC33@>One of Marce Krowaz’s first class NightMares, </font> <font color=@#FF3300@>the King of Death</font>  <font color=@#FFCC33@>His appearance was dreadful,  and the Drakis, </font>  <font color=@#FFCC33@>while resenting the god Logos who  had forsaken them,</font> <font color=@#FFCC33@>were forced  to worship not their creator but the </font> <font color=@#FF3300@>objects</font><font color=@#FFCC33@> they left behind.</font>  -From the Second Lost Page..."
128410000,Undefeatable Raum,"<b><font color=@#FFCC33@>Cursed Soul in Krowaz’s second army</font> </b><b><font color=@#FFCC33@>He is surprisingly good at stealing items.</font> <font color=@#3399FF@>....When Logos got rid of our tribe,..</font> </b><b><font color=@#3399FF@>...Raum’s very smile was like fire</font> </b>-From Draki’s dead body.."
128411000,Undefeatable Raum,"<b><font color=@#FFCC33@>Cursed Soul in Krowaz’s second army</font> </b><b><font color=@#FFCC33@>He is surprisingly good at stealing items.</font> <font color=@#3399FF@>....When Logos got rid of our tribe,..</font> </b><b><font color=@#3399FF@>...Raum’s very smile was like fire</font> </b>-From Draki’s dead body.."
