ID,Name,Level
100,Kecoon,6
101,Kecoon Scout,20
102,Kecoon Fighter,13
103,Kecoon Raider,15
104,Kecoon Exile,6
105,Kecoon Warrior,16
106,Kecoon Sorcerer,19
107,Kecoon Shaman,14
108,Kecoon Bone Collector,15
109,Kecoon Captain,22
111,Kekurikekukaka,55
112,Kecoon Captain,22
113,Kecoon Mage,31
114,Kecoon Berserker,31
115,Kecoon Dragoon,47
116,Kekurikekukaka,55
117,Kekurikekukaka,55
150,Kecoon,6
151,Kecoon Scout,20
152,Kecoon Fighter,13
153,Kecoon Raider,15
154,Kecoon Exile,6
155,Kecoon Warrior,16
156,Kecoon Sorcerer,19
157,Kecoon Shaman,14
158,Kecoon Bone Collector,15
159,Kecoon Captain,22
161,Kekurikekukaka,55
200,Bulcan,13
201,Wild Bulcan,14
202,Bulky Bulcan,15
203,Giant Bulcan,19
204,Bulture,21
205,Small Bulcan,18
206,Keilan,38
207,Silan,27
250,Bulcan,13
251,Wild Bulcan,14
252,Bulky Bulcan,15
253,Giant Bulcan,19
254,Bulture,21
255,Small Bulcan,18
256,Keilan,38
257,Silan,27
266,Keilan,38
271,Lutterslan,47
300,Gavolt,16
301,Giant Gavolt,20
302,Fury Gavolt,22
303,Spoiler,30
304,Gloomwing,25
350,Gavolt,16
351,Giant Gavolt,20
352,Fury Gavolt,22
353,Spoiler,30
354,Gloomwing,25
363,Spoiler,30
364,Gloomwing,25
400,Glyptodon,43
401,Ganesa,45
402,Stegodon,45
403,Mastodon,52
404,Megarodon,48
405,Glyptodon,43
406,Ganesa,45
407,Stegodon,47
408,Mastodon,45
410,Glyptodon,43
450,Glyptodon,43
451,Ganesa,45
452,Stegodon,45
453,Mastodon,52
454,Megarodon,48
460,Glyptodon,43
500,Werewolf,24
501,Lycan,35
502,Loup-Garou,37
503,Shadow Seeker,44
504,Dark Eyes,35
505,Dire Wolf,39
506,Lobo,69
507,Lupus,70
508,Lycaon,71
509,Shadow Seeker,40
510,Dark Eyes,35
511,Watcher,50
512,Blood Seeker,49
513,Lobo,69
514,Lupus,69
515,Lycaon,71
516,Lobo,69
517,Lupus,69
518,Lycaon,71
530,Werewolf,24
531,Lycan,35
532,Loup-Garou,35
533,Shadow Seeker,44
534,Dark Eyes,35
535,Dire Wolf,39
550,Werewolf,24
551,Lycan,35
552,Loup-Garou,37
553,Shadow Seeker,44
554,Dark Eyes,35
555,Dire Wolf,39
556,Lobo,69
557,Lupus,69
558,Lycaon,71
600,Smilodon,39
602,Wild Smilodon,42
603,Sabertooth,43
